,importe,fecha,agente
0,2.720958188904076e-06,2019-05-16,854
1,2.5192492501231252e-06,2019-05-17,854
2,1.0634569828002599e-06,2019-05-20,854
3,1.7455114816173285e-06,2019-05-30,854
4,5.446812335407072e-06,2019-06-07,854
5,1.1660381698434976e-06,2019-06-08,854
6,2.8667206549547127e-07,2019-06-23,854
7,9.480902877087804e-06,2019-07-04,854
8,3.013582967305861e-06,2019-07-06,854
9,3.5727583693695037e-06,2019-07-19,854
10,8.194129900386468e-06,2019-08-02,854
11,1.1445417149390397e-05,2019-07-31,854
12,1.1011960745721797e-05,2019-08-05,854
13,1.545409426489233e-05,2019-08-13,854
14,3.5905159624378384e-06,2019-08-24,854
15,1.1912847723203716e-05,2019-08-21,854
16,2.0392299504634654e-06,2019-09-01,854
17,8.595073123772218e-07,2019-08-18,854
18,5.839443101025336e-06,2019-09-07,854
19,4.512406721136242e-06,2019-09-08,854
20,2.5667129530655385e-06,2019-09-15,854
21,5.458026253377772e-06,2019-09-28,854
22,3.3330247070908287e-06,2019-09-21,854
23,2.5628033688185894e-05,2019-10-09,854
24,6.5663861029580605e-06,2019-10-12,854
25,2.699968771351962e-06,2019-10-13,854
26,1.7422326674315308e-05,2019-10-18,854
27,1.9653793752882188e-05,2019-10-21,854
28,1.1028548726119813e-05,2019-10-25,854
29,2.1252970273826036e-06,2019-10-27,3348
30,4.976209443719516e-07,2019-10-19,3348
31,1.5062013422424321e-05,2019-11-01,3348
32,1.740497331580145e-05,2019-11-07,854
33,2.143257763704204e-05,2019-11-14,854
34,1.1814415583212035e-05,2019-11-15,3348
35,3.343778987801615e-06,2019-11-28,3348
36,6.234671637942944e-07,2019-11-23,3348
37,3.5580497718570095e-05,2019-11-30,3349
38,2.876269824224658e-05,2019-12-08,3349
39,5.995021284917628e-05,2019-12-10,3349
40,8.791196649064377e-06,2019-12-07,854
41,7.80578361065527e-06,2019-12-08,854
42,3.7400804904478377e-05,2019-12-12,854
43,1.0252504563506227e-05,2019-12-13,3348
44,7.835192803067253e-05,2019-12-16,3349
45,2.854316399597954e-05,2019-12-16,854
46,1.7889182701553733e-05,2019-12-24,3349
47,2.3443704052184973e-05,2019-12-21,3349
48,1.1176716079976791e-05,2019-12-20,3348
49,3.207412205007345e-05,2019-12-26,854
50,1.2628033039871642e-05,2019-12-31,3348
51,2.740986266919269e-05,2020-01-03,854
52,1.2956255082492224e-05,2020-01-04,3348
53,6.421079991044055e-05,2020-01-10,3349
54,1.0248880816180289e-05,2020-01-11,854
55,2.6385723139683665e-06,2020-01-12,854
56,2.64093595753844e-05,2020-01-16,3348
57,6.561858060362279e-05,2020-01-20,3349
58,2.2583384166794686e-05,2020-01-23,3348
59,1.2781424663656052e-05,2020-01-24,3348
60,5.6016290398924234e-05,2020-01-29,3349
61,2.022945864164529e-05,2020-01-29,854
62,9.384894913251766e-05,2020-02-03,3349
63,4.411022642920838e-05,2020-02-05,3348
64,1.689751326133444e-05,2020-02-17,3348
65,2.2545246585934036e-05,2020-02-18,3348
66,5.515129821870882e-05,2020-02-20,3349
67,6.32978802861187e-05,2020-02-26,3349
68,7.266963572959304e-06,2020-02-25,3348
69,6.166503943979015e-05,2020-03-01,3349
70,5.603986732801543e-05,2020-03-04,3348
71,2.034026200056567e-05,2020-03-05,854
72,5.358205557431696e-05,2020-03-06,3348
73,4.710315034324268e-05,2020-03-09,854
74,0.00014278580180467187,2020-03-10,3349
75,0.00013488384114933137,2020-03-12,3349
76,3.18495728329884e-05,2020-03-17,3348
77,0.00038146172589091924,2020-03-31,3348
78,0.0006682089482342429,2020-04-03,3349
79,0.0006709703811773961,2020-04-06,3349
80,0.0004677366347737652,2020-04-08,854
81,0.00022119071328930988,2020-04-11,3349
82,8.315518253973249e-05,2020-04-11,3348
